# Target IPs for Taiwan Fixed Network (AS9924)
# Total: 60 unique next-hop IPs

202.249.2.131    # frequency: 1152
202.249.2.169    # frequency: 2560
202.249.2.83     # frequency: 1160
202.249.2.86     # frequency: 995
206.126.236.117  # frequency: 1877
206.126.236.12   # frequency: 1876
206.126.236.120  # frequency: 1782
206.126.236.137  # frequency: 1900
206.126.236.141  # frequency: 3
206.126.236.172  # frequency: 1901
206.126.236.189  # frequency: 1877
206.126.236.19   # frequency: 1877
206.126.236.209  # frequency: 1878
206.126.236.214  # frequency: 1877
206.126.236.218  # frequency: 4
206.126.236.25   # frequency: 1877
206.126.236.37   # frequency: 1989
206.126.236.47   # frequency: 1879
206.126.236.94   # frequency: 1877
206.126.237.210  # frequency: 1879
206.126.237.22   # frequency: 1878
206.126.237.239  # frequency: 70
206.126.238.208  # frequency: 1877
206.126.238.209  # frequency: 1877
206.126.238.215  # frequency: 1815
206.126.238.64   # frequency: 1850
206.126.238.92   # frequency: 1878
27.111.228.111   # frequency: 3
27.111.228.127   # frequency: 1645
27.111.228.134   # frequency: 1695
27.111.228.155   # frequency: 1430
27.111.228.159   # frequency: 1705
27.111.228.169   # frequency: 1573
27.111.228.206   # frequency: 1856
27.111.228.222   # frequency: 1962
27.111.228.228   # frequency: 196
27.111.228.4     # frequency: 282
27.111.228.43    # frequency: 1881
27.111.228.6     # frequency: 1712
27.111.228.77    # frequency: 1430
27.111.229.103   # frequency: 1980
27.111.229.111   # frequency: 1645
27.111.229.123   # frequency: 1881
27.111.229.175   # frequency: 1645
27.111.229.225   # frequency: 1490
27.111.229.233   # frequency: 24
27.111.229.252   # frequency: 1882
27.111.229.47    # frequency: 1744
27.111.230.32    # frequency: 1882
27.111.231.241   # frequency: 170
45.127.172.149   # frequency: 1883
45.127.172.152   # frequency: 1883
45.127.172.196   # frequency: 1848
45.127.172.67    # frequency: 1883
45.127.172.74    # frequency: 1881
45.127.172.78    # frequency: 1881
45.127.173.20    # frequency: 1881
45.127.173.40    # frequency: 1846
45.127.173.66    # frequency: 1881
45.127.173.76    # frequency: 1881
