asn,name,prefix,family,center_ip,geo_status,geo_message,country,region,city,lat,lon,isp,as,query
3462,HiNet,1.34.0.0/15,ipv4,1.35.0.0,success,,Taiwan,Taiwan,Neihu District,25.0689,121.591,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.35.0.0
3462,HiNet,1.34.0.0/16,ipv4,1.34.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.34.128.0
3462,HiNet,1.35.0.0/16,ipv4,1.35.128.0,success,,Taiwan,Taiwan,Neihu District,25.0689,121.591,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.35.128.0
3462,HiNet,1.160.0.0/16,ipv4,1.160.128.0,success,,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.160.128.0
3462,HiNet,1.160.0.0/12,ipv4,1.168.0.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.168.0.0
3462,HiNet,1.161.0.0/16,ipv4,1.161.128.0,success,,Taiwan,Hsinchu City,Hsinchu,24.8065,120.9706,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.161.128.0
3462,HiNet,1.162.0.0/16,ipv4,1.162.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.162.128.0
3462,HiNet,1.163.0.0/16,ipv4,1.163.128.0,success,,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.163.128.0
3462,HiNet,1.164.0.0/16,ipv4,1.164.128.0,success,,Taiwan,Taoyuan,Taoyuan District,24.9889,121.3176,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.164.128.0
3462,HiNet,1.165.0.0/16,ipv4,1.165.128.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.165.128.0
3462,HiNet,1.166.0.0/16,ipv4,1.166.128.0,success,,Taiwan,Taiwan,Taipei,25.0367,121.524,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.166.128.0
3462,HiNet,1.167.0.0/16,ipv4,1.167.128.0,success,,Taiwan,Taiwan,Taipei,25.0367,121.524,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.167.128.0
3462,HiNet,1.168.0.0/16,ipv4,1.168.128.0,success,,Taiwan,Yunlin,Yunlin,23.7113,120.3897,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.168.128.0
3462,HiNet,1.169.0.0/16,ipv4,1.169.128.0,success,,Taiwan,Taoyuan,Taoyuan District,24.9889,121.3176,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.169.128.0
3462,HiNet,1.170.0.0/16,ipv4,1.170.128.0,success,,Taiwan,Yunlin,Yunlin,23.7113,120.3897,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.170.128.0
3462,HiNet,1.171.0.0/16,ipv4,1.171.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.171.128.0
3462,HiNet,1.172.0.0/16,ipv4,1.172.128.0,success,,Taiwan,Kinmen County,Kinmen County,24.4515,118.3827,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,1.172.128.0
