ASN,Org,Prefix,Center_IP,PTR_Hostname,Status,Country,Region,City,Latitude,Longitude,Message
3462,HiNet,1.34.0.0/15,1.35.0.0,1-35-0-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
3462,HiNet,1.34.0.0/16,1.34.128.0,1-34-128-0.hinet-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,1.35.0.0/16,1.35.128.0,1-35-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
3462,HiNet,1.160.0.0/16,1.160.128.0,1-160-128-0.dynamic-ip.hinet.net,success,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,
3462,HiNet,1.160.0.0/12,1.168.0.0,1-168-0-0.dynamic-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,1.161.0.0/16,1.161.128.0,1-161-128-0.dynamic-ip.hinet.net,success,Taiwan,Hsinchu City,Hsinchu,24.8065,120.9706,
3462,HiNet,1.162.0.0/16,1.162.128.0,1-162-128-0.dynamic-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,1.163.0.0/16,1.163.128.0,1-163-128-0.dynamic-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,1.164.0.0/16,1.164.128.0,1-164-128-0.dynamic-ip.hinet.net,success,Taiwan,Taoyuan,Taoyuan District,24.9889,121.3176,
3462,HiNet,1.165.0.0/16,1.165.128.0,1-165-128-0.dynamic-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,1.166.0.0/16,1.166.128.0,1-166-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.0367,121.524,
3462,HiNet,1.167.0.0/16,1.167.128.0,1-167-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.0367,121.524,
3462,HiNet,1.168.0.0/16,1.168.128.0,1-168-128-0.dynamic-ip.hinet.net,success,Taiwan,Yunlin,Yunlin,23.7113,120.3897,
3462,HiNet,1.169.0.0/16,1.169.128.0,1-169-128-0.dynamic-ip.hinet.net,success,Taiwan,Taoyuan,Taoyuan District,24.9889,121.3176,
3462,HiNet,1.170.0.0/16,1.170.128.0,1-170-128-0.dynamic-ip.hinet.net,success,Taiwan,Yunlin,Yunlin,23.7113,120.3897,
3462,HiNet,1.171.0.0/16,1.171.128.0,1-171-128-0.dynamic-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,1.172.0.0/16,1.172.128.0,1-172-128-0.dynamic-ip.hinet.net,success,Taiwan,Kinmen County,Kinmen County,24.4515,118.3827,
3462,HiNet,1.173.0.0/16,1.173.128.0,1-173-128-0.dynamic-ip.hinet.net,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
3462,HiNet,1.174.0.0/16,1.174.128.0,1-174-128-0.dynamic-ip.hinet.net,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
3462,HiNet,1.175.0.0/16,1.175.128.0,1-175-128-0.dynamic-ip.hinet.net,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
3462,HiNet,36.224.0.0/16,36.224.128.0,36-224-128-0.dynamic-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,36.225.0.0/16,36.225.128.0,36-225-128-0.dynamic-ip.hinet.net,success,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,
