ASN,Org,Prefix,Center_IP,PTR_Hostname,Status,Country,Region,City,Latitude,Longitude,Message
4780,SEEDNet,23.36.112.0/22,23.36.114.0,a23-36-114-0.deploy.static.akamaitechnologies.com,success,Taiwan,Taiwan,Taipei,25.033,121.565,
4780,SEEDNet,42.0.64.0/18,42.0.96.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
4780,SEEDNet,49.213.170.0/24,49.213.170.128,128-170-213-49.tinp.net.tw,success,Taiwan,Changhua,Yuanlin,23.9579,120.5747,
4780,SEEDNet,49.213.175.0/24,49.213.175.128,128-175-213-49.tinp.net.tw,success,Taiwan,Taiwan,Taichung,24.1047,120.681,
4780,SEEDNet,49.213.187.0/24,49.213.187.128,128-187-213-49.tinp.net.tw,success,Taiwan,Taiwan,Taichung,24.1047,120.681,
4780,SEEDNet,49.213.226.0/24,49.213.226.128,128-226-213-49.tinp.net.tw,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
4780,SEEDNet,59.104.0.0/15,59.105.0.0,59-105-0-0.adsl.dynamic.seed.net.tw,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
4780,SEEDNet,59.104.0.0/16,59.104.128.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
4780,SEEDNet,59.104.0.0/17,59.104.64.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
4780,SEEDNet,59.104.0.0/18,59.104.32.0,,success,Taiwan,Taiwan,Taipei,25.0423,121.567,
4780,SEEDNet,59.104.0.0/19,59.104.16.0,,success,Taiwan,Taiwan,Taoyuan,25.0797,121.234,
4780,SEEDNet,59.104.32.0/24,59.104.32.128,59-104-32-128.adsl.dynamic.seed.net.tw,success,Taiwan,Taiwan,Taipei,25.0423,121.567,
4780,SEEDNet,59.104.32.0/19,59.104.48.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
4780,SEEDNet,59.104.64.0/18,59.104.96.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
4780,SEEDNet,59.104.64.0/19,59.104.80.0,,success,Taiwan,New Taipei City,Banqiao,25.0104,121.4684,
4780,SEEDNet,59.104.96.0/19,59.104.112.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
4780,SEEDNet,59.104.128.0/18,59.104.160.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
4780,SEEDNet,59.104.128.0/19,59.104.144.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
4780,SEEDNet,59.104.128.0/17,59.104.192.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
4780,SEEDNet,59.104.160.0/19,59.104.176.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
4780,SEEDNet,59.104.192.0/18,59.104.224.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
4780,SEEDNet,59.104.192.0/19,59.104.208.0,,success,Taiwan,Taiwan,Taipei,25.0423,121.567,
4780,SEEDNet,59.104.224.0/19,59.104.240.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
4780,SEEDNet,59.105.0.0/16,59.105.128.0,59-105-128-0.static.seed.net.tw,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
4780,SEEDNet,59.105.0.0/19,59.105.16.0,59-105-16-0.adsl.dynamic.seed.net.tw,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
4780,SEEDNet,59.105.0.0/17,59.105.64.0,59-105-64-0.adsl.dynamic.seed.net.tw,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
4780,SEEDNet,59.105.0.0/18,59.105.32.0,59-105-32-0.adsl.dynamic.seed.net.tw,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
4780,SEEDNet,59.105.6.0/24,59.105.6.128,59-105-6-128.adsl.dynamic.seed.net.tw,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
4780,SEEDNet,59.105.32.0/19,59.105.48.0,59-105-48-0.adsl.dynamic.seed.net.tw,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
