ASN,Org,Prefix,Center_IP,PTR_Hostname,Status,Country,Region,City,Latitude,Longitude,Message
1659,TANet,120.96.0.0/11,120.112.0.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,120.96.144.0/20,120.96.152.0,,success,Taiwan,Taiwan,Dazhi,25.084,121.546,
1659,TANet,120.96.160.0/19,120.96.176.0,,success,Taiwan,Taiwan,Dazhi,25.084,121.546,
1659,TANet,120.96.192.0/20,120.96.200.0,,success,Taiwan,Taiwan,Dazhi,25.084,121.546,
1659,TANet,120.96.208.0/20,120.96.216.0,,success,Taiwan,Taipei,Shulin District,25.0191,121.402,
1659,TANet,120.96.224.0/20,120.96.232.0,,success,Taiwan,Taipei,Shulin District,25.0191,121.402,
1659,TANet,120.107.0.0/18,120.107.32.0,,success,Taiwan,Taiwan,Taichung,24.1737,120.735,
1659,TANet,120.108.56.0/21,120.108.60.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,120.108.64.0/18,120.108.96.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,120.109.0.0/18,120.109.32.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,120.109.64.0/20,120.109.72.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,120.110.64.0/19,120.110.80.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,120.110.96.0/20,120.110.104.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,120.110.112.0/22,120.110.114.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,120.110.116.0/23,120.110.117.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,120.113.64.0/18,120.113.96.0,,success,Taiwan,Taiwan,Douliu,23.7026,120.429,
1659,TANet,120.118.0.0/18,120.118.32.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,120.118.64.0/19,120.118.80.0,,success,Taiwan,Taiwan,Dazhi,25.084,121.546,
1659,TANet,120.118.96.0/20,120.118.104.0,,success,Taiwan,Taiwan,Dazhi,25.084,121.546,
1659,TANet,120.118.118.0/23,120.118.119.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,120.119.176.0/20,120.119.184.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,120.124.0.0/18,120.124.32.0,120-124-32-0.ip.vnu.edu.tw,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,120.124.64.0/19,120.124.80.0,120-124-80-0.ip.vnu.edu.tw,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,120.124.96.0/19,120.124.112.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,120.124.128.0/18,120.124.160.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,120.124.192.0/21,120.124.196.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,120.124.200.0/23,120.124.201.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,120.124.204.0/22,120.124.206.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,120.124.208.0/20,120.124.216.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,120.124.224.0/19,120.124.240.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,120.125.0.0/18,120.125.32.0,,success,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,
1659,TANet,120.125.64.0/20,120.125.72.0,,success,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,
1659,TANet,120.125.80.0/21,120.125.84.0,,success,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,
1659,TANet,120.125.88.0/23,120.125.89.0,,success,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,
1659,TANet,120.125.128.0/18,120.125.160.0,,success,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,
1659,TANet,134.208.0.0/16,134.208.128.0,,success,Taiwan,Hualien County,Shoufeng,23.8341,121.521,
1659,TANet,140.92.0.0/16,140.92.128.0,,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
1659,TANet,140.92.0.0/17,140.92.64.0,,success,Taiwan,Taiwan,Taipei,25.033,121.565,
1659,TANet,140.92.128.0/17,140.92.192.0,,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
1659,TANet,140.110.0.0/15,140.111.0.0,,success,Taiwan,Taiwan,Long’anpo,25.0253,121.541,
1659,TANet,140.112.0.0/12,140.120.0.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,140.125.0.0/16,140.125.128.0,,success,Taiwan,Taiwan,Douliu,23.696,120.534,
1659,TANet,140.127.36.0/24,140.127.36.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.37.0/24,140.127.37.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.38.0/24,140.127.38.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.39.0/24,140.127.39.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.40.0/24,140.127.40.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.41.0/24,140.127.41.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.42.0/24,140.127.42.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.43.0/24,140.127.43.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.44.0/24,140.127.44.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.45.0/24,140.127.45.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.46.0/24,140.127.46.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.47.0/24,140.127.47.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.48.0/24,140.127.48.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.50.0/24,140.127.50.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.51.0/24,140.127.51.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.52.0/24,140.127.52.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.53.0/24,140.127.53.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.56.0/24,140.127.56.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.57.0/24,140.127.57.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.58.0/24,140.127.58.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.59.0/24,140.127.59.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.60.0/24,140.127.60.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.61.0/24,140.127.61.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.63.0/24,140.127.63.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.64.0/24,140.127.64.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.65.0/24,140.127.65.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.67.0/24,140.127.67.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.68.0/24,140.127.68.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.69.0/24,140.127.69.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.70.0/24,140.127.70.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.71.0/24,140.127.71.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.72.0/24,140.127.72.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.73.0/24,140.127.73.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.74.0/24,140.127.74.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.75.0/24,140.127.75.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.76.0/24,140.127.76.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.77.0/24,140.127.77.128,www.2014itcom.nknu.edu.tw,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.78.0/24,140.127.78.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.79.0/24,140.127.79.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.80.0/24,140.127.80.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.82.0/23,140.127.83.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.84.0/23,140.127.85.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.176.0/20,140.127.184.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
