ASN,Org,Prefix,Center_IP,PTR_Hostname,Status,Country,Region,City,Latitude,Longitude,Message
9924,TFN,2.18.16.0/23,2.18.17.0,a2-18-17-0.deploy.static.akamaitechnologies.com,success,Taiwan,Taiwan,Taipei,25.033,121.565,
9924,TFN,2.21.16.0/22,2.21.18.0,a2-21-18-0.deploy.static.akamaitechnologies.com,success,Taiwan,Taiwan,Taipei,25.033,121.565,
9924,TFN,23.202.124.0/22,23.202.126.0,a23-202-126-0.deploy.static.akamaitechnologies.com,success,Taiwan,Taiwan,Taipei,25.033,121.565,
9924,TFN,23.212.60.0/24,23.212.60.128,a23-212-60-128.deploy.static.akamaitechnologies.com,success,Taiwan,Taiwan,Taipei,25.033,121.565,
9924,TFN,43.240.24.0/22,43.240.26.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
9924,TFN,49.214.0.0/16,49.214.128.0,,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,49.214.0.0/15,49.215.0.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
9924,TFN,49.215.0.0/16,49.215.128.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
9924,TFN,49.216.0.0/14,49.218.0.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
9924,TFN,49.216.0.0/16,49.216.128.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
9924,TFN,49.217.0.0/16,49.217.128.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
9924,TFN,49.218.0.0/16,49.218.128.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
9924,TFN,49.219.0.0/16,49.219.128.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
9924,TFN,60.198.0.0/17,60.198.64.0,60-198-64-0.dynamic.tfn.net.tw,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
9924,TFN,60.198.0.0/16,60.198.128.0,60-198-128-0.dynamic.tfn.net.tw,success,Taiwan,Nantou,Caotun,23.9812,120.689,
9924,TFN,60.198.31.0/24,60.198.31.128,60-198-31-128.dynamic.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.198.64.0/18,60.198.96.0,60-198-96-0.dynamic.tfn.net.tw,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
9924,TFN,60.198.128.0/17,60.198.192.0,60-198-192-0.dynamic.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.198.128.0/20,60.198.136.0,60-198-136-0.dynamic.tfn.net.tw,success,Taiwan,Nantou,Caotun,23.9812,120.689,
9924,TFN,60.198.144.0/21,60.198.148.0,60-198-148-0.dynamic.tfn.net.tw,success,Taiwan,Nantou,Caotun,23.9812,120.689,
9924,TFN,60.198.160.0/19,60.198.176.0,60-198-176-0.dynamic.tfn.net.tw,success,Taiwan,Changhua,Chang-hua,24.0761,120.5648,
9924,TFN,60.198.240.0/20,60.198.248.0,60-198-248-0.dynamic.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.0.0/24,60.199.0.128,60-199-0-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.0.0/16,60.199.128.0,,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.0.0/18,60.199.32.0,,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.1.0/24,60.199.1.128,60-199-1-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.2.0/24,60.199.2.128,60-199-2-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.3.0/24,60.199.3.128,60-199-3-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.4.0/24,60.199.4.128,60-199-4-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.5.0/24,60.199.5.128,60-199-5-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.6.0/24,60.199.6.128,60-199-6-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.7.0/24,60.199.7.128,60-199-7-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.8.0/24,60.199.8.128,60-199-8-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.9.0/24,60.199.9.128,60-199-9-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.10.0/24,60.199.10.128,60-199-10-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.11.0/24,60.199.11.128,60-199-11-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.12.0/24,60.199.12.128,60-199-12-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.13.0/24,60.199.13.128,60-199-13-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.14.0/24,60.199.14.128,60-199-14-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.15.0/24,60.199.15.128,60-199-15-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.16.0/24,60.199.16.128,60-199-16-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.17.0/24,60.199.17.128,60-199-17-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.18.0/24,60.199.18.128,60-199-18-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.19.0/24,60.199.19.128,60-199-19-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.20.0/24,60.199.20.128,60-199-20-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.21.0/24,60.199.21.128,60-199-21-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
9924,TFN,60.199.22.0/24,60.199.22.128,60-199-22-128.static.tfn.net.tw,success,Taiwan,Taiwan,Taipei,25.0446,121.561,
