ASN,Org,Prefix,Center_IP,PTR_Hostname,Status,Country,Region,City,Latitude,Longitude,Message
7539,TWAREN,103.124.72.0/22,103.124.74.0,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
7539,TWAREN,103.160.220.0/23,103.160.221.0,,success,Taiwan,Taiwan,Hsinchu,24.7825,120.996,
7539,TWAREN,103.160.220.0/24,103.160.220.128,,success,Taiwan,Taiwan,Hsinchu,24.7825,120.996,
7539,TWAREN,140.110.0.0/16,140.110.128.0,,success,Taiwan,Hsinchu City,Hsinchu,24.8065,120.9706,
7539,TWAREN,140.110.200.0/21,140.110.204.0,,success,Taiwan,Hsinchu City,Hsinchu,24.8065,120.9706,
7539,TWAREN,140.110.215.0/24,140.110.215.128,,success,Taiwan,Hsinchu City,Hsinchu,24.8065,120.9706,
7539,TWAREN,203.145.200.0/21,203.145.204.0,,success,Taiwan,Taiwan,Yilan,24.7462,121.748,
7539,TWAREN,203.145.208.0/20,203.145.216.0,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
7539,TWAREN,211.73.64.0/19,211.73.80.0,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
7539,TWAREN,211.73.72.0/24,211.73.72.128,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
7539,TWAREN,211.79.48.0/20,211.79.56.0,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
7539,TWAREN,2001:e10::/32,2001:e10:8000::,,success,Taiwan,Taiwan,Hsinchu,24.7825,120.996,
