asn,name,orig_prefix,orig_prefix_len,net24,target_ip,ptr,ping,score,reason
4780,SEEDNet,192.72.125.0/24,24,192.72.125.0/24,192.72.125.1,dns.speedfam.com.tw,False,150.0,base_prflen=24;ptr;ptr_service
4780,SEEDNet,203.67.58.0/24,24,203.67.58.0/24,203.67.58.1,ns.jftpe.com.tw,False,150.0,base_prflen=24;ptr;ptr_service
4780,SEEDNet,203.67.170.0/24,24,203.67.170.0/24,203.67.170.1,ns2.compal.com,False,150.0,base_prflen=24;ptr;ptr_service
4780,SEEDNet,203.73.83.0/24,24,203.73.83.0/24,203.73.83.1,dns.pmc.org.tw,False,150.0,base_prflen=24;ptr;ptr_service
4780,SEEDNet,210.66.177.0/24,24,210.66.177.0/24,210.66.177.1,dns1.tolya.com.tw,False,150.0,base_prflen=24;ptr;ptr_service
1659,TANet,163.15.180.0/24,24,163.15.180.0/24,163.15.180.1,mail.kmhk.org.tw,False,150.0,base_prflen=24;ptr;ptr_service
1659,TANet,192.192.22.0/24,24,192.192.22.0/24,192.192.22.1,dns.nari.org.tw,False,150.0,base_prflen=24;ptr;ptr_service
1659,TANet,203.64.238.0/24,24,203.64.238.0/24,203.64.238.1,dns.kh.usc.edu.tw,False,150.0,base_prflen=24;ptr;ptr_service
1659,TANet,210.60.183.0/24,24,210.60.183.0/24,210.60.183.1,www.eec.isu.edu.tw,False,150.0,base_prflen=24;ptr;ptr_service
1659,TANet,120.118.118.0/23,23,120.118.118.0/24,120.118.118.1,ns1.nptu.edu.tw,False,145.83,base_prflen=23;ptr;ptr_service
1659,TANet,203.68.94.0/23,23,203.68.94.0/24,203.68.94.1,dns01p.vghks.gov.tw,False,145.83,base_prflen=23;ptr;ptr_service
1659,TANet,210.240.202.0/23,23,210.240.202.0/24,210.240.202.1,lib-gw.nhu.edu.tw,False,145.83,base_prflen=23;ptr;ptr_service
1659,TANet,140.128.4.0/22,22,140.128.7.0/24,140.128.7.1,dns.lib.pu.edu.tw,False,141.67,base_prflen=22;ptr;ptr_service
1659,TANet,140.131.4.0/22,22,140.131.7.0/24,140.131.7.1,www.im.lhu.edu.tw,False,141.67,base_prflen=22;ptr;ptr_service
1659,TANet,192.192.248.0/22,22,192.192.249.0/24,192.192.249.1,dns.knu.edu.tw,False,141.67,base_prflen=22;ptr;ptr_service
1659,TANet,192.192.248.0/22,22,192.192.250.0/24,192.192.250.1,www.ec.knu.edu.tw,False,141.67,base_prflen=22;ptr;ptr_service
1659,TANet,210.60.184.0/22,22,210.60.184.0/24,210.60.184.1,www.cna.isu.edu.tw,False,141.67,base_prflen=22;ptr;ptr_service
1659,TANet,210.240.232.0/21,21,210.240.232.0/24,210.240.232.1,dns.mcut.edu.tw,False,137.5,base_prflen=21;ptr;ptr_service
7539,TWAREN,140.110.200.0/21,21,140.110.202.0/24,140.110.202.1,ilc01.icg.nsrrc.org.tw,False,137.5,base_prflen=21;ptr;ptr_service
7539,TWAREN,140.110.200.0/21,21,140.110.203.0/24,140.110.203.1,efd.nsrrc.org.tw,False,137.5,base_prflen=21;ptr;ptr_service
7539,TWAREN,140.110.200.0/21,21,140.110.204.0/24,140.110.204.1,bl17a.nsrrc.org.tw,False,137.5,base_prflen=21;ptr;ptr_service
7539,TWAREN,140.110.200.0/21,21,140.110.205.0/24,140.110.205.1,m358-netadmin.nsrrc.org.tw,False,137.5,base_prflen=21;ptr;ptr_service
7539,TWAREN,203.145.200.0/21,21,203.145.204.0/24,203.145.204.1,niugwn01.grid.niu.edu.tw,False,137.5,base_prflen=21;ptr;ptr_service
1659,TANet,163.15.160.0/20,20,163.15.168.0/24,163.15.168.1,mail.psy.kmu.edu.tw,False,133.33,base_prflen=20;ptr;ptr_service
3462,HiNet,210.65.21.0/24,24,210.65.21.0/24,210.65.21.1,210-65-21-1.hinet-ip.hinet.net,False,130.0,base_prflen=24;ptr
3462,HiNet,211.22.33.0/24,24,211.22.33.0/24,211.22.33.1,211-22-33-1.r4101-s2.tp.hinet.net,False,130.0,base_prflen=24;ptr
3462,HiNet,211.72.233.0/24,24,211.72.233.0/24,211.72.233.1,211-72-233-1.hinet-ip.hinet.net,False,130.0,base_prflen=24;ptr
3462,HiNet,220.128.72.0/24,24,220.128.72.0/24,220.128.72.1,220-128-72-1.twgate-ip.twgate.net,False,130.0,base_prflen=24;ptr
3462,HiNet,220.128.77.0/24,24,220.128.77.0/24,220.128.77.1,220-128-77-1.twgate-ip.twgate.net,False,130.0,base_prflen=24;ptr
3462,HiNet,220.128.79.0/24,24,220.128.79.0/24,220.128.79.1,sub.quantatw.com,False,130.0,base_prflen=24;ptr
3462,HiNet,220.128.80.0/24,24,220.128.80.0/24,220.128.80.1,220-128-80-1.twgate-ip.twgate.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,49.213.170.0/24,24,49.213.170.0/24,49.213.170.1,1-170-213-49.tinp.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,49.213.175.0/24,24,49.213.175.0/24,49.213.175.1,1-175-213-49.tinp.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,49.213.187.0/24,24,49.213.187.0/24,49.213.187.1,1-187-213-49.tinp.net.tw,False,130.0,base_prflen=24;ptr
