asn,name,orig_prefix,orig_prefix_len,net24,target_ip,ptr,ping,score,reason
9924,TFN,60.199.161.0/24,24,60.199.161.0/24,60.199.161.1,mail.gigamedia.com.tw,False,150.0,base_prflen=24;ptr;ptr_service
9924,TFN,60.199.163.0/24,24,60.199.163.0/24,60.199.163.1,ns1.ezfly.com,False,150.0,base_prflen=24;ptr;ptr_service
9924,TFN,210.17.53.0/24,24,210.17.53.0/24,210.17.53.1,ns1.uqer.com,False,150.0,base_prflen=24;ptr;ptr_service
9924,TFN,60.199.160.0/23,23,60.199.161.0/24,60.199.161.1,mail.gigamedia.com.tw,False,145.83,base_prflen=23;ptr;ptr_service
9924,TFN,61.30.76.0/23,23,61.30.76.0/24,61.30.76.1,mail.rfidlife.net,False,145.83,base_prflen=23;ptr;ptr_service
9924,TFN,103.23.108.0/22,22,103.23.108.0/24,103.23.108.1,ip-103-23-108-1.static.pixnet.tw,False,141.67,base_prflen=22;ptr;ptr_service
9924,TFN,103.23.108.0/22,22,103.23.109.0/24,103.23.109.1,ip-103-23-109-1.static.pixnet.tw,False,141.67,base_prflen=22;ptr;ptr_service
9924,TFN,103.23.108.0/22,22,103.23.110.0/24,103.23.110.1,ip-103-23-110-1.static.pixnet.tw,False,141.67,base_prflen=22;ptr;ptr_service
9924,TFN,103.23.108.0/22,22,103.23.111.0/24,103.23.111.1,ip-103-23-111-1.static.pixnet.tw,False,141.67,base_prflen=22;ptr;ptr_service
9924,TFN,23.212.60.0/24,24,23.212.60.0/24,23.212.60.1,a23-212-60-1.deploy.static.akamaitechnologies.com,False,130.0,base_prflen=24;ptr
9924,TFN,60.198.31.0/24,24,60.198.31.0/24,60.198.31.1,60-198-31-1.dynamic.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.0.0/24,24,60.199.0.0/24,60.199.0.1,60-199-0-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.1.0/24,24,60.199.1.0/24,60.199.1.1,60-199-1-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.2.0/24,24,60.199.2.0/24,60.199.2.1,60-199-2-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.3.0/24,24,60.199.3.0/24,60.199.3.1,60-199-3-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.4.0/24,24,60.199.4.0/24,60.199.4.1,60-199-4-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.5.0/24,24,60.199.5.0/24,60.199.5.1,60-199-5-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.6.0/24,24,60.199.6.0/24,60.199.6.1,60-199-6-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.7.0/24,24,60.199.7.0/24,60.199.7.1,60-199-7-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.8.0/24,24,60.199.8.0/24,60.199.8.1,60-199-8-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.9.0/24,24,60.199.9.0/24,60.199.9.1,60-199-9-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.10.0/24,24,60.199.10.0/24,60.199.10.1,60-199-10-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.11.0/24,24,60.199.11.0/24,60.199.11.1,60-199-11-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.12.0/24,24,60.199.12.0/24,60.199.12.1,60-199-12-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.13.0/24,24,60.199.13.0/24,60.199.13.1,60-199-13-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.14.0/24,24,60.199.14.0/24,60.199.14.1,60-199-14-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.15.0/24,24,60.199.15.0/24,60.199.15.1,60-199-15-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.16.0/24,24,60.199.16.0/24,60.199.16.1,60-199-16-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.17.0/24,24,60.199.17.0/24,60.199.17.1,60-199-17-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.18.0/24,24,60.199.18.0/24,60.199.18.1,60-199-18-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.19.0/24,24,60.199.19.0/24,60.199.19.1,sslvpn.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.20.0/24,24,60.199.20.0/24,60.199.20.1,60-199-20-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.21.0/24,24,60.199.21.0/24,60.199.21.1,60-199-21-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.22.0/24,24,60.199.22.0/24,60.199.22.1,60-199-22-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.23.0/24,24,60.199.23.0/24,60.199.23.1,60-199-23-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.24.0/24,24,60.199.24.0/24,60.199.24.1,60-199-24-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.25.0/24,24,60.199.25.0/24,60.199.25.1,60-199-25-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.26.0/24,24,60.199.26.0/24,60.199.26.1,60-199-26-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.27.0/24,24,60.199.27.0/24,60.199.27.1,60-199-27-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.29.0/24,24,60.199.29.0/24,60.199.29.1,60-199-29-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.30.0/24,24,60.199.30.0/24,60.199.30.1,60-199-30-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.31.0/24,24,60.199.31.0/24,60.199.31.1,60-199-31-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.45.0/24,24,60.199.45.0/24,60.199.45.1,60-199-45-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.46.0/24,24,60.199.46.0/24,60.199.46.1,60-199-46-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.47.0/24,24,60.199.47.0/24,60.199.47.1,60-199-47-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.49.0/24,24,60.199.49.0/24,60.199.49.1,60-199-49-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.104.0/24,24,60.199.104.0/24,60.199.104.1,60-199-104-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.105.0/24,24,60.199.105.0/24,60.199.105.1,60-199-105-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.106.0/24,24,60.199.106.0/24,60.199.106.1,60-199-106-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
9924,TFN,60.199.107.0/24,24,60.199.107.0/24,60.199.107.1,60-199-107-1.static.tfn.net.tw,False,130.0,base_prflen=24;ptr
