# BGP Next-Hop Targets for AS1659 (TANet)
# These are likely border/edge routers

# Foreign next-hops (international peering points)
202.249.2.169    # seen 2560 times
27.111.228.63    # seen 2438 times
206.126.236.37   # seen 1989 times
27.111.229.103   # seen 1980 times
27.111.228.222   # seen 1962 times
206.126.236.172  # seen 1901 times
206.126.236.137  # seen 1900 times
45.127.172.152   # seen 1883 times
45.127.172.149   # seen 1883 times
45.127.172.67    # seen 1883 times
27.111.229.252   # seen 1882 times
27.111.230.32    # seen 1882 times
45.127.173.76    # seen 1881 times
27.111.228.43    # seen 1881 times
45.127.173.20    # seen 1881 times
45.127.173.66    # seen 1881 times
45.127.172.74    # seen 1881 times
27.111.229.123   # seen 1881 times
45.127.172.78    # seen 1881 times
206.126.236.47   # seen 1879 times
