# Strategic Target IPs from prefixes - AS9924 (Taiwan Fixed Network)
# Generated from announced prefix blocks

103.129.176.49   # 103.129.176.49/32  [??] gateway
175.99.72.32     # 175.99.72.32/32    [TW] gateway
60.199.186.242   # 60.199.186.242/32  [TW] gateway
61.30.25.160     # 61.30.25.160/32    [TW] gateway
175.98.133.87    # 175.98.133.87/32   [TW] gateway
175.98.133.91    # 175.98.133.91/32   [TW] gateway
60.199.186.243   # 60.199.186.243/32  [TW] gateway
175.97.161.36    # 175.97.161.36/32   [TW] gateway
175.98.133.92    # 175.98.133.92/32   [TW] gateway
61.30.25.18      # 61.30.25.18/32     [TW] gateway
49.214.254.183   # 49.214.254.183/32  [TW] gateway
49.216.8.1       # 49.216.8.1/32      [TW] gateway
61.30.25.54      # 61.30.25.54/32     [TW] gateway
175.98.133.89    # 175.98.133.89/32   [TW] gateway
175.98.166.214   # 175.98.166.214/32  [TW] gateway
61.30.25.11      # 61.30.25.11/32     [TW] gateway
175.98.133.84    # 175.98.133.84/32   [TW] gateway
61.30.25.90      # 61.30.25.90/32     [TW] gateway
61.30.25.119     # 61.30.25.119/32    [TW] gateway
61.30.25.176     # 61.30.25.176/32    [TW] gateway
61.30.25.61      # 61.30.25.61/32     [TW] gateway
175.99.72.0      # 175.99.72.0/32     [TW] gateway
49.214.255.30    # 49.214.255.30/32   [TW] gateway
60.199.212.101   # 60.199.212.101/32  [TW] gateway
60.199.212.103   # 60.199.212.103/32  [TW] gateway
49.214.254.233   # 49.214.254.233/32  [TW] gateway
175.98.133.88    # 175.98.133.88/32   [TW] gateway
49.214.255.15    # 49.214.255.15/32   [TW] gateway
61.30.25.191     # 61.30.25.191/32    [TW] gateway
175.97.161.31    # 175.97.161.31/32   [TW] gateway
49.214.254.197   # 49.214.254.197/32  [TW] gateway
61.30.25.212     # 61.30.25.212/32    [TW] gateway
175.98.166.211   # 175.98.166.211/32  [TW] gateway
175.99.72.65     # 175.99.72.65/32    [TW] gateway
175.98.167.163   # 175.98.167.163/32  [TW] gateway
61.30.25.83      # 61.30.25.83/32     [TW] gateway
60.199.188.152   # 60.199.188.152/32  [TW] gateway
175.98.133.93    # 175.98.133.93/32   [TW] gateway
61.30.25.234     # 61.30.25.234/32    [TW] gateway
175.98.133.82    # 175.98.133.82/32   [TW] gateway
61.30.25.40      # 61.30.25.40/32     [TW] gateway
175.98.166.212   # 175.98.166.212/32  [TW] gateway
61.30.25.105     # 61.30.25.105/32    [TW] gateway
61.30.25.155     # 61.30.25.155/32    [TW] gateway
61.30.25.104     # 61.30.25.104/32    [TW] gateway
61.30.25.163     # 61.30.25.163/32    [TW] gateway
61.30.25.148     # 61.30.25.148/32    [TW] gateway
175.98.133.90    # 175.98.133.90/32   [TW] gateway
49.214.254.219   # 49.214.254.219/32  [TW] gateway
175.99.72.39     # 175.99.72.39/32    [TW] gateway
61.30.25.198     # 61.30.25.198/32    [TW] gateway
49.216.221.208   # 49.216.221.208/32  [TW] gateway
60.198.180.8     # 60.198.180.8/32    [TW] gateway
61.30.25.32      # 61.30.25.32/32     [TW] gateway
61.30.25.248     # 61.30.25.248/32    [TW] gateway
175.98.113.224   # 175.98.113.224/32  [TW] gateway
175.99.72.77     # 175.99.72.77/32    [TW] gateway
175.98.166.215   # 175.98.166.215/32  [TW] gateway
175.98.133.83    # 175.98.133.83/32   [TW] gateway
61.30.25.140     # 61.30.25.140/32    [TW] gateway
175.99.81.11     # 175.99.81.11/32    [TW] gateway
60.199.188.57    # 60.199.188.57/32   [TW] gateway
175.99.72.11     # 175.99.72.11/32    [TW] gateway
49.214.254.212   # 49.214.254.212/32  [TW] gateway
61.30.25.227     # 61.30.25.227/32    [TW] gateway
175.98.133.85    # 175.98.133.85/32   [TW] gateway
60.199.186.241   # 60.199.186.241/32  [TW] gateway
60.199.188.5     # 60.199.188.5/32    [TW] gateway
49.214.254.190   # 49.214.254.190/32  [TW] gateway
60.199.235.111   # 60.199.235.111/32  [TW] gateway
60.199.235.96    # 60.199.235.96/32   [TW] gateway
175.98.166.213   # 175.98.166.213/32  [TW] gateway
103.129.176.145  # 103.129.176.145/32 [??] gateway
61.30.25.33      # 61.30.25.33/32     [TW] gateway
175.98.133.94    # 175.98.133.94/32   [TW] gateway
175.98.166.210   # 175.98.166.210/32  [TW] gateway
61.30.25.220     # 61.30.25.220/32    [TW] gateway
61.30.25.169     # 61.30.25.169/32    [TW] gateway
175.99.72.55     # 175.99.72.55/32    [TW] gateway
175.99.72.10     # 175.99.72.10/32    [TW] gateway
175.99.72.56     # 175.99.72.56/32    [TW] gateway
175.98.133.86    # 175.98.133.86/32   [TW] gateway
49.218.146.173   # 49.218.146.173/32  [TW] gateway
49.214.254.248   # 49.214.254.248/32  [TW] gateway
61.30.25.126     # 61.30.25.126/32    [TW] gateway
219.86.92.33     # 219.86.92.32/28    [TW] gateway
219.86.92.40     # 219.86.92.32/28    [TW] internal
219.86.92.97     # 219.86.92.96/28    [TW] gateway
219.86.92.104    # 219.86.92.96/28    [TW] internal
219.86.92.65     # 219.86.92.64/28    [TW] gateway
219.86.92.72     # 219.86.92.64/28    [TW] internal
219.86.92.81     # 219.86.92.80/28    [TW] gateway
219.86.92.88     # 219.86.92.80/28    [TW] internal
219.86.92.1      # 219.86.92.0/28     [TW] gateway
219.86.92.8      # 219.86.92.0/28     [TW] internal
219.86.92.17     # 219.86.92.16/28    [TW] gateway
219.86.92.24     # 219.86.92.16/28    [TW] internal
203.211.9.193    # 203.211.9.192/27   [TW] gateway
203.211.9.208    # 203.211.9.192/27   [TW] internal
203.211.5.65     # 203.211.5.64/27    [TW] gateway
203.211.5.80     # 203.211.5.64/27    [TW] internal
203.211.9.129    # 203.211.9.128/27   [TW] gateway
203.211.9.144    # 203.211.9.128/27   [TW] internal
203.211.5.97     # 203.211.5.96/27    [TW] gateway
203.211.5.112    # 203.211.5.96/27    [TW] internal
203.211.9.225    # 203.211.9.224/27   [TW] gateway
203.211.9.240    # 203.211.9.224/27   [TW] internal
203.211.5.193    # 203.211.5.192/27   [TW] gateway
203.211.5.208    # 203.211.5.192/27   [TW] internal
203.211.5.161    # 203.211.5.160/27   [TW] gateway
203.211.5.176    # 203.211.5.160/27   [TW] internal
203.211.9.161    # 203.211.9.160/27   [TW] gateway
203.211.9.176    # 203.211.9.160/27   [TW] internal
203.211.9.97     # 203.211.9.96/27    [TW] gateway
203.211.9.112    # 203.211.9.96/27    [TW] internal
