source_asn,source_name,target_asn,target_name,occurrences,source_is_taiwan,target_is_taiwan,source_is_tier1,target_is_tier1
4780,SeedNet,4780,SeedNet,1107646,True,True,False,False
9924,Taiwan Fixed Network,9924,Taiwan Fixed Network,506579,True,True,False,False
4780,SeedNet,17709,,271089,True,False,False,False
6453,,4780,SeedNet,239546,False,True,True,False
4780,SeedNet,9919,,219811,True,False,False,False
3491,,9924,Taiwan Fixed Network,218801,False,True,True,False
9924,Taiwan Fixed Network,24158,,217673,True,False,False,False
9002,,4780,SeedNet,175351,False,True,False,False
2914,,4780,SeedNet,116985,False,True,True,False
17709,,131596,,96093,False,False,False,False
9505,,9924,Taiwan Fixed Network,92863,False,True,False,False
9924,Taiwan Fixed Network,38841,,90919,True,False,False,False
9002,,9924,Taiwan Fixed Network,75920,False,True,False,False
9505,,4780,SeedNet,73400,False,True,False,False
9680,,3462,HiNet (Chunghwa),68883,False,True,False,False
3491,,4780,SeedNet,68228,False,True,True,False
17709,,24154,,66510,False,False,False,False
3356,,9002,,63182,False,False,True,False
9924,Taiwan Fixed Network,24164,,58671,True,False,False,False
17709,,131591,,52269,False,False,False,False
4780,SeedNet,18049,,47593,True,False,False,False
3462,HiNet (Chunghwa),17421,,43740,True,False,False,False
58453,,58453,,42828,False,False,False,False
4780,SeedNet,131602,,41864,True,False,False,False
24157,,24157,,38579,False,False,False,False
1299,,6453,,36860,False,False,True,True
2914,,9924,Taiwan Fixed Network,32782,False,True,True,False
16552,,2914,,32698,False,False,False,True
4826,,3356,,30616,False,False,False,True
2914,,3491,,28347,False,False,True,True
6939,,4780,SeedNet,28099,False,True,False,False
17350,,6453,,27718,False,False,False,True
199524,,3491,,27014,False,False,False,True
57695,,60068,,25710,False,False,False,False
58511,,9002,,25478,False,False,False,False
20253,,1299,,25041,False,False,False,True
8220,,1299,,24853,False,False,False,True
398465,,4826,,24766,False,False,False,False
4780,SeedNet,9674,,24389,True,False,False,False
174,,6453,,23626,False,False,True,True
9924,Taiwan Fixed Network,24157,,23191,True,False,False,False
9680,,9680,,22856,False,False,False,False
11039,,4901,,22293,False,False,False,False
4901,,11164,,22070,False,False,False,False
1299,,3491,,21898,False,False,True,True
41095,,3356,,21850,False,False,False,True
8888,,137409,,21083,False,False,False,False
58453,,9924,Taiwan Fixed Network,21013,False,True,False,False
7474,,7473,,20362,False,False,False,False
24516,,3491,,19813,False,False,False,True
135895,,137409,,19507,False,False,False,False
4635,,9002,,19362,False,False,False,False
137409,,9002,,19348,False,False,False,False
2497,,6453,,19341,False,False,False,True
148968,,6939,,19205,False,False,False,False
3257,,6453,,19158,False,False,True,True
11164,,3491,,19026,False,False,False,True
6939,,3491,,18569,False,False,False,True
6079,,9002,,18428,False,False,False,False
7500,,2497,,18366,False,False,False,False
6939,,9924,Taiwan Fixed Network,17662,False,True,False,False
132847,,7474,,17437,False,False,False,False
19151,,9002,,16820,False,False,False,False
3462,HiNet (Chunghwa),21859,,16793,True,False,False,False
17660,,2914,,16225,False,False,False,True
137409,,2914,,15801,False,False,False,True
174,,3491,,15369,False,False,True,True
9674,,9674,,15036,False,False,False,False
131584,,131584,,14094,False,False,False,False
398465,,2914,,13803,False,False,False,True
293,,6453,,13774,False,False,False,True
3257,,3491,,13648,False,False,True,True
24516,,9505,,13593,False,False,False,False
7713,,3356,,13512,False,False,False,True
17350,,2914,,13419,False,False,False,True
17408,,17408,,13418,False,False,False,False
7594,,3356,,13403,False,False,False,True
49544,,4780,SeedNet,13403,False,True,False,False
1299,,9505,,13273,False,False,True,False
3462,HiNet (Chunghwa),17408,,13187,True,False,False,False
7713,,9002,,13152,False,False,False,False
23673,,4635,,13040,False,False,False,False
17709,,9311,,13033,False,False,False,False
137409,,9924,Taiwan Fixed Network,12582,False,True,False,False
49544,,3491,,12380,False,False,False,True
9924,Taiwan Fixed Network,24163,,12355,True,False,False,False
132337,,9002,,12275,False,False,False,False
7594,,174,,12165,False,False,False,True
8220,,6453,,12115,False,False,False,True
3462,HiNet (Chunghwa),3462,HiNet (Chunghwa),11957,True,True,False,False
199524,,137409,,11609,False,False,False,False
17709,,24155,,11515,False,False,False,False
199524,,174,,11420,False,False,False,True
199524,,6453,,11237,False,False,False,True
174,,9680,,11219,False,False,True,False
9924,Taiwan Fixed Network,24165,,11173,True,False,False,False
4713,,2914,,11114,False,False,False,True
2914,,3462,HiNet (Chunghwa),10928,False,True,True,False
9924,Taiwan Fixed Network,18429,,10817,True,False,False,False
2500,,4713,,10626,False,False,False,False
3320,,6453,,10553,False,False,True,True
3356,,3491,,10496,False,False,True,True
58511,,9505,,10363,False,False,False,False
3356,,6453,,10230,False,False,True,True
6057,,6461,,10115,False,False,False,True
7473,,6453,,10097,False,False,False,True
49544,,9002,,9951,False,False,False,False
49544,,9924,Taiwan Fixed Network,9935,False,True,False,False
17709,,7482,,9853,False,False,False,False
17350,,3356,,9712,False,False,False,True
6830,,6453,,9659,False,False,True,True
151326,,6453,,9546,False,False,False,True
8220,,3491,,9444,False,False,False,True
6057,,2914,,9199,False,False,False,True
24516,,174,,9135,False,False,False,True
16552,,6453,,8942,False,False,False,True
3320,,3491,,8936,False,False,True,True
174,,9924,Taiwan Fixed Network,8916,False,True,True,False
132337,,9505,,8827,False,False,False,False
18106,,9505,,8769,False,False,False,False
24482,,9505,,8456,False,False,False,False
58952,,9505,,8329,False,False,False,False
6830,,3491,,8166,False,False,True,True
2497,,3491,,8162,False,False,False,True
4826,,6939,,8155,False,False,False,False
293,,3491,,8110,False,False,False,True
24482,,9002,,8040,False,False,False,False
